id,price,currency,rooms,area,location,city
6477914,204000,AZN,2,59.0,Nəriman Nərimanov,Bakı
6480617,138000,AZN,2,65.0,,Xırdalan
6223036,950,AZN,,150.0,Əhmədli,Bakı
6444038,107000,AZN,2,53.0,,Xırdalan
6164714,47000,AZN,,8.0,Qobu,Bakı
6453668,365000,AZN,3,92.0,Nəsimi,Bakı
6081441,187000,AZN,2,65.0,Əhmədli,Bakı
6478495,118000,AZN,4,85.0,Bülbülə,Bakı
6080561,202000,AZN,3,96.0,Həzi Aslanov,Bakı
6479901,165000,AZN,2,70.0,Yeni Yasamal,Bakı
6180458,195500,AZN,,8.0,Bilgəh,Bakı
6263455,2300,AZN,8,330.0,Nəsimi,Bakı
6478810,285000,AZN,3,107.0,Əhmədli,Bakı
6438089,65000,AZN,3,100.0,,Xırdalan
6447067,165000,AZN,1,62.0,Həzi Aslanov,Bakı
5639405,120,AZN,3,120.0,Ağ şəhər,Bakı
6088135,85,AZN,2,98.0,Şah İsmayıl Xətai,Bakı
6353131,74250,AZN,,4.5,Nardaran,Bakı
4936758,100,AZN,2,95.0,Ağ şəhər,Bakı
6281992,700,AZN,2,78.0,Xətai,Bakı
6476193,185000,AZN,3,83.0,Bakıxanov,Bakı
6148675,270000,AZN,3,101.0,Nəriman Nərimanov,Bakı
6480102,235000,AZN,4,160.0,Mərdəkan,Bakı
6412525,143000,AZN,2,65.0,Abşeron,Xırdalan
6477277,160000,AZN,2,114.0,28 May,Bakı
6477285,25500,AZN,,4.0,Dübəndi,Bakı
6477269,135000,AZN,,6.0,Mərdəkan,Bakı
6478105,1800000,AZN,,3000.0,Kürdəxanı,Bakı
5749119,115000,AZN,,55.0,Masazır,Bakı
6459503,248000,AZN,3,107.0,Həzi Aslanov,Bakı
6386350,249000,AZN,3,103.0,Xalqlar Dostluğu,Bakı
6439162,4000,AZN,,250.0,Nəriman Nərimanov,Bakı
6290542,300000,AZN,,11.4,Mərdəkan,Bakı
6411625,900,AZN,2,70.0,Nəriman Nərimanov,Bakı
6478417,117500,AZN,4,90.0,Bülbülə,Bakı
6371660,265000,AZN,2,100.0,Binəqədi,Bakı
6446498,207000,AZN,3,95.0,Abşeron,Xırdalan
6478405,289000,AZN,4,120.0,Nəsimi,Bakı
6358673,215000,AZN,2,80.0,Nizami,Bakı
6375319,295000,AZN,2,100.0,Elmlər Akademiyası,Bakı
6406672,153000,AZN,3,70.0,Keşlə,Bakı
6404780,139000,AZN,2,45.0,Xalqlar Dostluğu,Bakı
6470582,132000,AZN,2,45.0,28 May,Bakı
6445114,66300,AZN,1,40.0,Masazır,Bakı
6192602,299000,AZN,5,400.0,Badamdar,Bakı
6404700,270000,AZN,5,89.7,İçəri Şəhər,Bakı
6376609,220000,AZN,,9.0,Novxanı,Bakı
6480344,950000,AZN,5,800.0,28 May,Bakı
6467237,177000,AZN,4,260.0,Masazır,Bakı
6403781,520200,AZN,,280.0,Biləcəri,Bakı
6475106,72000,AZN,2,40.0,Yeni Günəşli,Bakı
6472751,175000,AZN,3,65.0,Əhmədli,Bakı
6230988,189000,AZN,3,74.0,Nəsimi,Bakı
6274756,67500,AZN,3,110.0,Binə,Bakı
6351930,149000,AZN,2,50.0,Bayıl,Bakı
6479417,249000,AZN,3,83.0,Həzi Aslanov,Bakı
6469341,108000,AZN,2,44.0,Yeni Günəşli,Bakı
5919335,143000,AZN,2,67.0,Həzi Aslanov,Bakı
6009441,279000,AZN,2,77.0,Səbail,Bakı
6264360,950,AZN,1,44.0,Sea Breeze,Bakı
6476725,510,AZN,2,60.0,Qaraçuxur,Bakı
6090200,99000,AZN,,3.0,Mərdəkan,Bakı
6380393,100000,AZN,1,39.0,Sea Breeze,Bakı
6380408,97000,AZN,1,38.0,Sea Breeze,Bakı
6433237,128000,AZN,4,120.0,Binəqədi,Bakı
6172629,750000,AZN,5,400.0,Bilgəh,Bakı
6422476,188000,AZN,3,80.0,Qaraçuxur,Bakı
5776084,285000,AZN,1,58.0,Nardaran,Bakı
6464155,330000,AZN,2,65.0,Sea Breeze,Bakı
6300677,395000,AZN,,12.0,Buzovna,Bakı
6473114,110000,AZN,1,40.0,Sea Breeze,Bakı
6431818,132000,AZN,,12.0,Nardaran,Bakı
5521838,720000,AZN,,44.0,Nardaran,Bakı
6447764,88500,AZN,2,57.0,Masazır,Bakı
6447745,88500,AZN,2,54.0,Masazır,Bakı
6477850,153000,AZN,2,55.0,İnşaatçılar,Bakı
6169463,280000,AZN,6,240.0,Yeni Ramana,Bakı
6183050,440000,AZN,3,105.0,Koroğlu,Bakı
6386940,277219,AZN,2,70.9,Nardaran,Bakı
6475750,160000,AZN,6,160.0,Savalan,Bakı
6422618,163000,AZN,1,50.0,Sea Breeze,Bakı
5263470,816000,AZN,3,135.0,Sea Breeze,Bakı
5978391,570000,AZN,6,300.0,Bilgəh,Bakı
6473069,263500,AZN,1,43.0,Sea Breeze,Bakı
6473100,350000,AZN,2,74.0,Sea Breeze,Bakı
6473095,360000,AZN,2,76.0,Sea Breeze,Bakı
5407427,320000,AZN,3,140.0,Nərimanov,Bakı
6480751,117000,AZN,2,60.0,İnşaatçılar,Bakı
6436517,12000,AZN,,384.0,Şah İsmayıl Xətai,Bakı
6468086,67500,AZN,2,50.0,Masazır,Bakı
