id,price,currency,rooms,area,floor,hasRepair,location,city
5863392,454580,AZN,3,95.5,4,True,Nardaran,Bakı
6481046,79500,AZN,2,44.0,4,True,Masazır,Bakı
6408660,1050600,AZN,,103.0,,True,Gənclik,Bakı
6401117,3000,AZN,,156.0,,True,Gənclik,Bakı
6401165,7000,AZN,,827.0,,True,Gənclik,Bakı
6474029,340000,AZN,4,167.0,,True,Badamdar,Bakı
6346834,385000,AZN,3,116.0,10,True,28 May,Bakı
4472923,118400,AZN,2,74.0,7,False,,Sumqayıt
5647358,395000,AZN,3,140.0,5,True,Nəriman Nərimanov,Bakı
6412039,400000,AZN,,25000.0,,True,,Oğuz
6390499,108000,AZN,,6.0,,,Sea Breeze,Bakı
5910948,550000,AZN,,600.0,,True,Abşeron,Bakı
6360306,250000,AZN,5,120.0,8,True,Xalqlar Dostluğu,Bakı
6473901,376000,AZN,3,155.0,11,True,Nəsimi,Bakı
6478981,430000,AZN,3,144.0,14,True,Nərimanov,Bakı
5600400,300000,AZN,,120.0,,False,,Sumqayıt
6430997,32900,AZN,,11.0,,,,Quba
6329939,14000,AZN,13,530.0,,True,28 May,Bakı
4882682,190,AZN,5,185.0,,True,,Qusar
6223640,1071,AZN,3,174.0,7,True,Koroğlu,Bakı
6352409,350000,AZN,6,390.0,,False,Pirşağı,Bakı
6483307,372000,AZN,3,116.0,11,False,Azadlıq Prospekti,Bakı
6471481,108500,AZN,2,50.0,10,True,,Xırdalan
6447846,650000,AZN,4,195.0,4,False,28 May,Bakı
6458089,239000,AZN,3,90.0,4,True,Əhmədli,Bakı
6429468,270000,AZN,3,83.0,12,True,Yasamal,Bakı
6329692,105000,AZN,3,82.0,,True,Binə,Bakı
6473339,178000,AZN,3,76.0,2,True,Yeni Günəşli,Bakı
6379586,115000,AZN,2,50.0,5,True,Həzi Aslanov,Bakı
6336682,325000,AZN,3,100.0,5,True,Şah İsmayıl Xətai,Bakı
6419742,494784,AZN,4,154.6,6,False,Badamdar,Bakı
6477938,109000,AZN,,8.8,,,Nardaran,Bakı
6231360,1400,AZN,2,94.0,12,True,28 May,Bakı
6471657,188000,AZN,5,150.0,,True,Bakıxanov,Bakı
6303499,1100,AZN,4,130.0,,True,Şüvəlan,Bakı
6458953,870000,AZN,,80.0,,True,Sahil,Bakı
6095863,2500,AZN,,80.0,,True,Sahil,Bakı
6419736,332134,AZN,2,107.4,3,False,Badamdar,Bakı
6484542,93000,AZN,2,77.0,1,True,Masazır,Bakı
6467295,435000,AZN,4,190.0,12,True,Nəsimi,Bakı
