id,price,currency,rooms,area,floor,hasRepair,location,city,price_per_m2
5504148,376533,AZN,2,96.3,3.0,False,Sea Breeze,Bakı,3910.0
6330912,635000,AZN,3,125.0,19.0,True,Şah İsmayıl Xətai,Bakı,5080.0
6435353,142175,AZN,3,60.5,13.0,False,Qaraçuxur,Bakı,2350.0
6416371,70500,AZN,2,56.0,6.0,True,Masazır,Bakı,1258.93
4530140,401778,AZN,2,90.9,6.0,False,Nardaran,Bakı,4420.0
6447150,80000,AZN,1,41.0,2.0,True,Masazır,Bakı,1951.22
5307976,950000,AZN,4,229.0,14.0,True,Nizami,Bakı,4148.47
6475960,615000,AZN,4,139.0,4.0,False,Sea Breeze,Bakı,4424.46
6051556,385000,AZN,2,81.0,2.0,True,Sea Breeze,Bakı,4753.09
6482367,663214,AZN,4,174.5,8.0,False,Elmlər Akademiyası,Bakı,3800.65
6357710,125000,AZN,3,78.0,3.0,True,Masazır,Bakı,1602.56
6451123,275000,AZN,4,115.0,,True,Mərdəkan,Bakı,2391.3
5489871,314500,AZN,1,58.0,4.0,True,Sea Breeze,Bakı,5422.41
6325502,310000,AZN,3,105.0,8.0,True,Neftçilər,Bakı,2952.38
4513531,698683,AZN,2,112.6,6.0,True,Nardaran,Bakı,6205.0
5646854,896719,AZN,3,184.5,4.0,True,Şah İsmayıl Xətai,Bakı,4860.27
5646676,535919,AZN,2,97.2,4.0,True,Şah İsmayıl Xətai,Bakı,5513.57
6457192,197000,AZN,2,60.0,3.0,True,Əhmədli,Bakı,3283.33
5981885,155000,AZN,1,57.0,1.0,False,Sea Breeze,Bakı,2719.3
5981972,347500,AZN,2,102.0,3.0,True,Sea Breeze,Bakı,3406.86
6251851,580000,AZN,3,141.0,4.0,True,Sea Breeze,Bakı,4113.48
5540301,398055,AZN,3,111.5,2.0,False,Sea Breeze,Bakı,3570.0
4675929,175000,AZN,1,60.0,3.0,False,Nardaran,Bakı,2916.67
5552025,487050,AZN,2,124.6,2.0,False,Sea Breeze,Bakı,3908.91
6246369,345000,AZN,4,160.0,17.0,True,Həzi Aslanov,Bakı,2156.25
6323513,450000,AZN,3,130.0,6.0,True,Nəriman Nərimanov,Bakı,3461.54
6129603,360000,AZN,2,111.0,4.0,False,28 May,Bakı,3243.24
6454908,84500,AZN,2,51.0,11.0,True,Abşeron,Xırdalan,1656.86
5737068,755000,AZN,7,455.0,,True,Bilgəh,Bakı,1659.34
5504245,608558,AZN,2,96.8,4.0,True,Sea Breeze,Bakı,6286.76
6474877,175000,AZN,2,55.0,14.0,True,Həzi Aslanov,Bakı,3181.82
6349861,415000,AZN,2,60.0,3.0,True,Ağ şəhər,Bakı,6916.67
5018761,290000,AZN,3,158.0,3.0,True,Şıxov,Bakı,1835.44
6468230,385000,AZN,3,125.0,11.0,True,Şah İsmayıl Xətai,Bakı,3080.0
5981017,290000,AZN,3,136.0,9.0,True,Əhmədli,Bakı,2132.35
6413787,237000,AZN,1,58.0,6.0,True,Sea Breeze,Bakı,4086.21
6413803,331500,AZN,2,93.0,5.0,False,Sea Breeze,Bakı,3564.52
6413863,306000,AZN,2,86.0,3.0,False,Sea Breeze,Bakı,3558.14
6382251,193800,AZN,1,45.6,8.0,False,Nardaran,Bakı,4250.0
6230570,1340000,AZN,4,120.0,,True,Buzovna,Bakı,11166.67
6476822,210000,AZN,3,63.0,5.0,True,Nəriman Nərimanov,Bakı,3333.33
6462595,470000,AZN,3,160.0,3.0,True,Nəsimi,Bakı,2937.5
6478679,80000,AZN,2,57.0,5.0,True,Masazır,Bakı,1403.51
6482060,76000,AZN,2,40.0,3.0,True,Masazır,Bakı,1900.0
6405082,260678,AZN,1,69.7,4.0,False,Nardaran,Bakı,3740.0
3776665,331200,AZN,3,110.4,1.0,True,20 Yanvar,Bakı,3000.0
5893873,339624,AZN,3,106.8,3.0,True,20 Yanvar,Bakı,3180.0
4695792,480200,AZN,4,171.5,20.0,False,Nərimanov,Bakı,2800.0
6482193,247000,AZN,2,85.0,15.0,True,Dərnəgül,Bakı,2905.88
6367161,457888,AZN,3,135.5,11.0,False,Badamdar,Bakı,3379.25
6373124,338474,AZN,2,107.1,3.0,False,Badamdar,Bakı,3160.35
6465683,360000,AZN,3,143.0,16.0,True,İnşaatçılar,Bakı,2517.48
6367017,232204,AZN,1,65.6,3.0,False,Badamdar,Bakı,3539.7
5730671,708000,AZN,4,236.0,9.0,False,28 May,Bakı,3000.0
4377330,521400,AZN,3,173.8,9.0,False,28 May,Bakı,3000.0
4351096,664230,AZN,4,221.41,4.0,False,28 May,Bakı,3000.0
4991369,359040,AZN,3,108.8,4.0,False,28 May,Bakı,3300.0
5730589,385600,AZN,3,120.5,15.0,True,28 May,Bakı,3200.0
6314587,184022,AZN,1,42.1,3.0,False,Nardaran,Bakı,4371.07
6479245,327400,AZN,4,163.7,13.0,False,Bakıxanov,Bakı,2000.0
6278390,125000,AZN,4,125.0,,True,Zabrat,Bakı,1000.0
6431601,130000,AZN,2,43.0,8.0,True,Memar Əcəmi,Bakı,3023.26
6243109,155000,AZN,5,250.0,,True,Mərdəkan,Bakı,620.0
6318801,261018,AZN,2,49.5,5.0,False,Nardaran,Bakı,5273.09
6410989,375000,AZN,3,110.0,12.0,True,Elmlər Akademiyası,Bakı,3409.09
6270267,105000,AZN,3,100.0,,True,Nəriman Nərimanov,Bakı,1050.0
5695949,54000,AZN,1,41.0,1.0,False,Masazır,Bakı,1317.07
6220826,185045,AZN,1,31.1,9.0,True,Nardaran,Bakı,5950.0
6429278,425000,AZN,2,106.0,17.0,True,Nərimanov,Bakı,4009.43
6365513,135000,AZN,3,85.0,,True,Qala,Bakı,1588.24
6124286,455000,AZN,5,270.0,,True,Mərdəkan,Bakı,1685.19
6219766,438793,AZN,2,68.8,8.0,True,Nardaran,Bakı,6377.81
6062253,275000,AZN,1,46.0,7.0,True,Sea Breeze,Bakı,5978.26
6410949,87900,AZN,2,50.0,8.0,True,Abşeron,Xırdalan,1758.0
6390712,585000,AZN,5,220.0,,True,Mərdəkan,Bakı,2659.09
5960599,750000,AZN,5,300.0,,True,Mərdəkan,Bakı,2500.0
5835722,590000,AZN,4,250.0,,True,Mərdəkan,Bakı,2360.0
6381642,280000,AZN,4,160.0,,True,Mərdəkan,Bakı,1750.0
6198054,292000,AZN,2,90.0,12.0,True,Elmlər Akademiyası,Bakı,3244.44
