id,price,currency,rooms,area,floor,floors,hasRepair,isVipped,isFeatured,location,city,price_per_m2
6467522,225000,AZN,2,74.0,13,17,True,False,False,Xalqlar Dostluğu,Bakı,3040.54
6119782,265000,AZN,3,140.0,17,17,True,False,False,Əhmədli,Bakı,1892.86
6467583,275000,AZN,3,112.0,2,17,True,False,False,Qara Qarayev,Bakı,2455.36
6313813,230000,AZN,3,80.0,2,9,True,False,False,Bakıxanov,Bakı,2875.0
6152885,290000,AZN,3,69.0,16,18,True,False,False,Bakmil,Bakı,4202.9
6485872,468000,AZN,3,92.0,14,18,True,True,False,Şah İsmayıl Xətai,Bakı,5086.96
6411535,440000,AZN,3,135.0,3,7,False,False,False,Nəriman Nərimanov,Bakı,3259.26
6494623,265000,AZN,2,70.0,7,17,True,False,False,Şah İsmayıl Xətai,Bakı,3785.71
6435853,1150000,AZN,5,330.0,10,16,True,False,False,Nizami,Bakı,3484.85
6479698,355000,AZN,3,133.0,10,18,True,True,False,Nəsimi,Bakı,2669.17
6411624,260000,AZN,2,72.0,3,7,False,False,False,Nəriman Nərimanov,Bakı,3611.11
6494620,370000,AZN,3,100.5,6,10,False,False,False,Nizami,Bakı,3681.59
6321381,148000,AZN,2,48.0,1,5,True,False,False,Neftçilər,Bakı,3083.33
6460423,280000,AZN,3,70.0,14,16,True,True,True,Yasamal,Bakı,4000.0
6494618,225000,AZN,2,65.0,8,9,True,False,False,Nərimanov,Bakı,3461.54
6154253,270000,AZN,2,68.0,17,19,True,False,False,Şah İsmayıl Xətai,Bakı,3970.59
6486910,177000,AZN,3,93.0,5,5,True,False,False,Həzi Aslanov,Bakı,1903.23
6240020,368000,AZN,3,138.0,15,17,True,False,False,Neftçilər,Bakı,2666.67
6494612,220000,AZN,4,100.0,9,9,True,False,False,Bakıxanov,Bakı,2200.0
6471919,620000,AZN,4,230.0,16,18,True,False,False,Nizami,Bakı,2695.65
6411666,269999,AZN,3,115.0,10,17,True,False,False,Həzi Aslanov,Bakı,2347.82
6494610,226000,AZN,3,100.0,10,15,True,False,False,Həzi Aslanov,Bakı,2260.0
6483387,188000,AZN,2,55.0,11,16,True,False,False,20 Yanvar,Bakı,3418.18
6494611,175000,AZN,2,60.0,17,19,True,False,False,Memar Əcəmi,Bakı,2916.67
6362687,650000,AZN,3,190.0,9,18,True,False,False,Elmlər Akademiyası,Bakı,3421.05
6167734,195000,AZN,2,69.0,2,14,True,False,False,Qara Qarayev,Bakı,2826.09
6494609,305000,AZN,2,67.0,4,17,True,False,False,Elmlər Akademiyası,Bakı,4552.24
